(1.925000,-1.250000),
(1.800000,-1.175000),
(1.700000,-1.099999),
(1.575000,-1.025000),
(1.475000,-0.950000),
(1.350000,-0.875000),
(1.250000,-0.800000),
(1.125000,-0.724999),
(1.025001,-0.650000),
(1.000000,-0.500000),
(0.925000,-0.375000),
(0.875000,-0.250000),
(0.825000,-0.125000),
(0.775001,0.000000),
(0.800000,0.125000),
(0.800000,0.250000),
(0.800000,0.375000),
(0.825000,0.500000),
(0.825000,0.625000),
(0.825000,0.750000),
(0.825000,0.875000),
(0.850000,1.000000),
(0.850000,1.075000),
(0.775001,1.200000),
(0.725000,1.325000),
(0.675000,1.450000),
(0.625000,1.575000),
(0.600000,1.700000),
(0.600000,1.825000),
(0.600000,1.950000),
(0.575000,2.075000),
(0.575000,2.200000),
(0.575000,2.225000),
(0.625000,2.350000),
(0.650001,2.475000),
(0.700000,2.600000),
(0.750000,2.725000),
(0.800000,2.850000),
(0.850000,2.975000),
(0.925000,3.075000),
(1.025001,3.000000),
(1.150001,2.925000),
(1.275001,2.850000),
(1.350000,2.800000)
